S.No,Software Name,Software link,One line discription,Software paid or not (Y/N),Reference (journel or publication name),Name of Person,Additional Remarks
18,Evoker,https://www.sanger.ac.uk/resources/software/evoker/,Evoker is a graphical tool for visualizing genotype intensity data in order to assess genotype calls as part of quality control procedures for genome-wide association studies.,No Paid. Available to download.,,Pragya,
19,SSAHA2,https://www.sanger.ac.uk/resources/software/ssaha2/,SSAHA2 (Sequence Search and Alignment by Hashing Algorithm) is a pairwise sequence alignment program designed for the efficient mapping of sequencing reads onto genomic reference sequences,Not Paid. Available to download.,,Pragya,
20,ACT - Artemis Comparison Tool,https://www.sanger.ac.uk/resources/software/act/#downloads,"ACT is a free tool for displaying pairwise comparisons between two or more DNA sequences. It can be used to identify and analyse regions of similarity and difference between genomes and to explore conservation of synteny, in the context of the entire sequences and their annotation.",Not Paid. Available to download.,,Pragya,
21,CyloFold,http://cylofold.abcc.ncifcrf.gov/,Secondary structure prediction method based on placement of helices allowing complex pseudoknots.,freely available,,chandrani,
22,IPknot,http://www.ncrna.org/software/ipknot/,RNA pseudoknot prediction based on maximizing expected accuracy,freely available,,chandrani,
23,KineFold,http://kinefold.curie.fr/,RNA/DNA folding predictions including pseudoknots and entangled helices,freely available,,chandrani,
24,Mfold,http://mfold.rna.albany.edu/,The RNA and DNA folding servers compute multiple foldings and dot plots for single sequences. The results include images of all computed foldings. Structures may be redrawn to produce more pleasing results.,freely available,,chandrani,
25,PknotsRG,http://bibiserv.techfak.uni-bielefeld.de/pknotsrg/,"pknotsRG is a tool for folding RNA secondary structures, including the class of simple recursive pseudoknots. The program runs in O(n^4) time and O(n^2) space, therefore its application here on the BiBiserv is limited to sequences of length up to 800 bases",freely available,,chandrani,
26,pKiss,http://bibiserv2.cebitec.uni-bielefeld.de/pkiss,"pKiss is a tool for folding RNA secondary structures, including two limited classes of pseudoknots.",freely available,,chandrani,
27,RNA123,,,,,chandrani,
28,RNAfold,http://rna.tbi.univie.ac.at/cgi-bin/RNAfold.cgi,"The RNAfold web server will predict secondary structures of single stranded RNA or DNA sequences. Current limits are 7,500 nt for partition function calculations and 10,000 nt for minimum free energy only predicitions.",freely available,,chandrani,
29,RNAshapes,http://bibiserv.techfak.uni-bielefeld.de/rnashapes/,"RNAshapes offers three powerful RNA analysis tools in one single software package: 1. Computation of a small set of representative structures of different shapes, complete in a well-defined sense. 2. Computation of accumulated shape probabilities. 3.Comparative prediction of consensus structures, as an alternative to the over-expensive Sankoff Algorithm",freely available,,chandrani,
30,UNAFold,http://mfold.rna.albany.edu/,"The UNAFold software package is an integrated collection of programs that simulate folding, hybridization, and melting pathways for one or two single-stranded nucleic acid sequences",freely available,,chandrani,
31,Crumple,http://adenosine.chem.ou.edu/software.html,Crumple is for full-funnel folding of RNA secondary structures.,freely available,,chandrani,
32,BARNACLE,http://sourceforge.net/projects/barnacle-rna/,BARNACLE is a Python library for RNA 3D structure prediction. It can be used for probabilistic sampling of RNA structures that are compatible with a given nucleotide sequence and that are RNA like on a local length scale,freely available,,chandrani,
33,iFoldRNA,http://troll.med.unc.edu/ifoldrna.v2/index.php,a web portal for interactive RNA folding simulations. It perform discrete molecular dynamics simulations of RNA using coarse-grained structural models (three-beads/residue).,freely available,,chandrani,
34,MC-Fold MC-Sym Pipeline,http://www.major.iric.ca/MC-Pipeline/,"The MC-Fold | MC-Sym pipeline is a web-hosted service for RNA secondary and tertiary structure prediction. The pipeline means that the input sequence to MC-Fold outputs secondary structures that are direct input to MC-Sym, which outputs tertiary structures.",freely available,,chandrani,
35,RNAComposer,http://rnacomposer.ibch.poznan.pl/Home,RNAComposer is a tool for fully automated prediction of large RNA 3D structures,freely available,,chandrani,
36,Carnac,http://bioinfo.lifl.fr/carnac/,Carnac is a software tool for analysing the hypothetical secondary structure of a family of homologous RNA. It aims at predicting if the sequences actually share a common secondary structure.,freely available,,chandrani,
37,CentroidAlifold,http://www.ncrna.org/software/centroidalifold/,Accurate (common) secondary structure prediction for aligned RNA sequences,freely available,,chandrani,
38,CentroidAlign,http://www.ncrna.org/software/centroidalign/,"CentroidAlign is an accurate and fast aligner for multiple RNA sequences, based on maximizing the expected sum-of-pair score (SPS)",freely available,,chandrani,
39,CMfinder,http://bio.cs.washington.edu/yzizhen/CMfinder/,"CMfinder is a RNA motif prediction tool. This tool performs well on unaligned sequences with long extraneous flanking regions, and in cases when the motif is only present in a subset of sequences. CMfinder also integrates directly with genome-scale homology search, and can be used for automatic refinement and expansion of RNA families.
                ",freely available,,chandrani,
40,CONSAN,http://selab.janelia.org/software/consan/,"Pairwise RNA structural alignment, both unconstrained and constrained on alignment pins.",freely available,,chandrani,
41,DAFS,http://www.ncrna.org/software/dafs/,Simultaneous aligning and folding of RNA sequences by dual decomposition,freely available,,chandrani,
42,FoldalignM,http://foldalign.ku.dk/,"FOLDALIGN an algorithm for local or global simultaneous folding and aligning two or more RNA sequences and is based on the Sankoffs algorithm. Foldalign can make pairwise local or global
alignments and structure predictions. FoldalignM makes a multiple global
alignment and structure prediction.

",freely available,,chandrani,
43,GraphClust,http://www.bioinf.uni-freiburg.de/Software/GraphClust/,GraphClust  can be used for structural clustering of RNA sequences. Especially it can be used for clustering of very large dataset with thousands of RNAs.,freely available,http://bioinformatics.oxfordjournals.org/content/28/12/i224.abstract,chandrani,
44,KNetFold,http://knetfold.abcc.ncifcrf.gov/,KNetFold is a software for predicting the consensus RNA secondary structure for a given alignment of nucleotide sequences.,freely available,,chandrani,
45,Motif Scan,http://myhits.isb-sib.ch/cgi-bin/motif_scan,"This form lets you paste a protein sequence, select the collections of motifs to scan for, and launch the search.",,,Ankit,
46,Inter Pro 5,http://prosite.expasy.org/,"Database of protein domains, families and functional sites",freely available,"Jones, P. et al. 2014, Bioinformatics 10: 1093",Ankit,
47,Pratt,http://web.expasy.org/pratt/,Allows to interactively generate conserved patterns from a series of unaligned proteins.,freely available,,Ankit,
48,My Domain,http://prosite.expasy.org/mydomains/,Allows to generate custom domain figures.,freely available,,Ankit,
49,Pfam,http://pfam.xfam.org/,"The Pfam database is a large collection of protein families, each represented by multiple sequence alignments and hidden Markov models (HMMs).",freely available,,Ankit,
50,InterProScan,http://www.ebi.ac.uk/interpro/download.html,"InterProScan is the software package that allows sequences (protein and nucleic) to be scanned against InterPro's signatures. Signatures are predictive models, provided by several different databases (referred to as member databases), that make up the InterPro consortium.",freely available,,Ankit,
51,MOTIF Search,http://www.genome.jp/tools/motif/,Motif Search is used for the protein analysis.,freely available,,Ankit,
52,Conserved Domains and Protein Classification,http://www.ncbi.nlm.nih.gov/Structure/cdd/cdd.shtml,CDD is a protein annotation resource that consists of a collection of well-annotated multiple sequence alignment models for ancient domains and full-length proteins.,freely available,,Ankit,
53,Block Maker,http://blocks.fhcrc.org/blocks/make_blocks.html,"Block Maker finds conserved blocks in a group of two or more unaligned protein sequences, which are assumed to be related, using two different algorithms.",,,Ankit,
54,PRINTS,http://www.bioinf.manchester.ac.uk/dbbrowser/PRINTS/index.php,PRINTS is a compendium of protein fingerprints.,freely available,,Ankit,
55,ProDom,http://prodom.prabi.fr/prodom/current/html/form.php,ProDom is a comprehensive set of protein domain families automatically generated from the UniProt Knowledge Database.,freely available,,Ankit,
56,SMART,http://smart.embl-heidelberg.de/smart/set_mode.cgi?GENOMIC=1,Simple Modular Architecture Research Tool searches sequence for the domains/ sequences listed in the homepage.,freely available,,Ankit,
57,iProClass,http://pir.georgetown.edu/pirwww/dbinfo/iproclass.shtml,iProClass is an integrated resource that provides comprehensive family relationships and structural/functional features of proteins.,freely available,,Ankit,
58,MEROPS,http://merops.sanger.ac.uk/,MEROPS permits one to screen protein sequences against an extensive database of characterized peptidases.,,,Ankit,
59,GYM,http://users.cis.fiu.edu/~giri/bioinf/GYM2/welcome.html,GYM 2.0 can be used to detect Helix-Turn-Helix Motifs in protein sequences.,freely available,"Narasimhan, G. et al. 2002. J. Computational Biol. 9:707-720",Ankit,
60,DNA Binder,http://www.imtech.res.in/raghava/dnabinder/submit.html,DNAbinder allows user to submit more than one sequence for predicting DNA-biding proteins using composition based SVM model.,,M. Kumar et al. 2007. BMC Bioinformatics 8: 463,Ankit,
61,HTHQuery,http://www.ebi.ac.uk/thornton-srv/databases/cgi-bin/HTHquery/index.pl,HTHQuery is another site for detection of the DNA-binding helix-turn-helix motif.,freely available,C. Ferrer-Costa et al. 2005. Bioinformatics 2005 21: 3679-3680,Ankit,
62,BindN,http://bioinfo.ggc.org/bindn/,Used for prediction of DNA and RNA binding residues in proteins.,freely available,"Wang, L. and Brown, S.J.. 2006. Nucl. Acids Res. 34: W243-248",Ankit,
63,DP-Bind,http://lcg.rit.albany.edu/dp-bind/,It is a web server for sequence-based prediction of DNA-binding residues in DNA-binding proteins.,freely available,S. Hwang et al. 2007. Bioinformatics 25: 634-636,Ankit,
64,3D-footprint,http://floresta.eead.csic.es/3dfootprint/,3D-footprint is a database of DNA-binding protein structures that is updated weekly with Protein Data Bank complexes.,freely available,,Ankit,
65,DISPLAR,http://pipe.scs.fsu.edu/displar.html,"DISPLAR is a neural network method. Given the structure of a protein known to bind DNA, the method predicts residues that contact DNA.",freely available,Tjong G & Zhou H-X. 2007. Nucl. Acid Res.35: 1465-1477,Ankit,
66,iDBPs,http://idbps.tau.ac.il/,Identification of DNA binding proteins (DBPs) for proteins with known 3D-structure.,freely available,Nimrod G. et al. 2009. J. Mol. Biol. 387: 1040-1053,Ankit,
67,DNA Bind Prot,http://www.prc.boun.edu.tr/appserv/prc/dnabindprot/index.html,Server for Determination of Potential DNA Binding Sites of Proteins.,freely available,Ozbek P et al. 2010. Nucl. Acids Res. 38: W417-423,Ankit,
68,DNABind,http://www.enzim.hu/~szia/dnabind.html,This server predicts whether a protein is DNA-binding from its structure and/or sequence.,freely available,Szlagyi A & Skolnick J. 2006. J. Mol. Biol. 358: 922-933,Ankit,
69,2ZIP,http://2zip.molgen.mpg.de/index.html,Predict Leucine Zippers in your amino acid sequence.,freely available,"Bornberg-Bauer,E. et al. (1998) Nucleic Acids Res. 26:2740-2746",Ankit,
70,SEPPA,http://lifecenter.sgst.cn/seppa/index.php,A computational server for spatial epitope prediction of protein antigens.,freely available,"Sun, J. 2009. Nucleic Acids Res. 37(Web Server issue):W612-6",Ankit,
71,BCPREDS,http://ailab.cs.iastate.edu/bcpreds/predict.html,"This server allows users to choose the method for predicting B-cell epitopes among several developed prediction methods: AAP method, BCPred and FBCPred.",,"EL-Manzalawy, Y. et al. 2008. J Mol Recognit 21: 243-255",Ankit,
72,EpiSearch,http://ailab.cs.iastate.edu/bcpreds/predict.html,Mapping of Conformational Epitopes.,,"Negi, S.S. & Braun, W. 2009. Bioinform. Biol. Insights 3: 71-81",Ankit,
73,CEP,http://ailab.cs.iastate.edu/bcpreds/predict.html,"Conformational Epitope Prediction Server - The algorithm, apart from predicting conformational epitopes, also predicts antigenic determinants and sequential epi-topes.",,"Kulkarni-Kale, U. et al. 2005. Nucl. Acids Res. 33: W168–W171",Ankit,
74,NetOGlyc,http://www.cbs.dtu.dk/services/NetOGlyc/,The NetOglyc server produces neural network predictions of mucin type GalNAc O-glycosylation sites in mammalian proteins.,freely available,,Ankit,
75,NetNGlyc,http://www.cbs.dtu.dk/services/NetNGlyc/,The NetNglyc server predicts N-Glycosylation sites in human proteins using artificial neural networks that examine the sequence context of Asn-Xaa-Ser/Thr sequons.,freely available,,Ankit,
76,YinOYang,http://www.cbs.dtu.dk/services/YinOYang/,"The YinOYang server produces neural network predictions for O-ß-GlcNAc attachment sites in eukaryotic protein sequences. This server can also use NetPhos, to mark possible phosphorylated sites and hence identify ""Yin-Yang"" sites.",freely available,,Ankit,
77,LipoP,http://www.cbs.dtu.dk/services/LipoP/,"The LipoP 1.0 server produces predictions of lipoproteins and discriminates between lipoprotein signal peptides, other signal peptides and n-terminal membrane helices in Gram-negative bacteria.",freely available,,Ankit,
78,NMT,http://mendel.imp.ac.at/myristate/SUPLpredictor.htm,Predicts N-terminal N-myristoylation.,freely available,,Ankit,
79,Myristoylator,http://web.expasy.org/myristoylator/,Predicts N-terminal myristoylation of proteins by neural networks.,freely available,,Ankit,
80,NsitePred,http://biomine-ws.ece.ualberta.ca/NsitePred.html,"The server is designed for sequence-based prediction of binding residues for ATP, ADP, AMP, GDP, and GTP.",freely available,K. Chen 2012. Bioinformatics 28: 331-341,Ankit,
81,GPS,http://csbl.bmb.uga.edu/~ffzhou/gps_web/predict.php,It is a Group-based Phosphorylation Scoring method.,freely available,Y. Xue et al. 2005. Nucl. Acids Res. 33: W184-W187,Ankit,
82,KinasePhos,http://kinasephos.mbc.nctu.edu.tw/,It is used to computationally predict phosphorylation sites within given protein sequences.,freely available,H.-D. Huang et al. 2005. Nucl. Acids Res. 33: W226-W229,Ankit,
83,NetPhos,http://www.cbs.dtu.dk/services/NetPhos/,"The NetPhos 2.0 server produces neural network predictions for serine, threonine and tyrosine phosphorylation sites in eukaryotic proteins.",freely available,,Ankit,
84,Sulfinator,http://web.expasy.org/sulfinator/,Predicts tyrosine sulfation sites in protein sequences.,freely available,,Ankit,
85,MEME Suite,http://meme.nbcr.net/meme/,Motif-based sequence analysis tools,,"Bailey, T.L. et al. 2009. Nucl. Acids Res. 37(Web Server issue): W202-W208",Ankit,
86,RNA Structure Logos,http://www.cbs.dtu.dk/~gorodkin/appl/slogo.html,Nucleotide logos.,,,Ankit,
87,WebLogo,http://weblogo.berkeley.edu/logo.cgi,Graphical way of representing and visualizing consensus sequence data.,freely available,,Ankit,
88,Seq2Logo,http://www.cbs.dtu.dk/biotools/Seq2Logo/,"Seq2Logo is a web-based sequence logo generation method for construction and visualization of amino acid binding motifs and sequence profiles including sequence weighting, pseudo counts and two-sided representation of amino acid enrichment and depletion.",freely available,"Thomsen, M.C., & Nielsen, M. 2012. Nucleic Acids Res. 40(Web Server issue):W281-287",Ankit,
89,Skylign,http://skylign.org/,Skylign is a tool for creating logos representing both sequence alignments and profile hidden Markov models.,freely available,"Wheeler TJ, et al. 2014. BMC Bioinformatics. 15: 7",Ankit,
90,Two Sample Logos,http://www.twosamplelogo.org/cgi-bin/tsl/tsl.cgi,Detects and displays statistically significant differences in position-specific symbol compositions between two sets of multiple sequence alignments.,freely available,"Vacic, V. et al. 2006. Bioinformatics 22: 1536-1537",Ankit,
91,Rfam,http://rfam.xfam.org/,"The Rfam database is a collection of RNA families, each represented by multiple sequence alignments, consensus secondary structures and covariance models (CMs).",,,Ankit,
92,DNABindR,http://turing.cs.iastate.edu/PredDNA/predict.html,"Uses a ""Naive Bayes"" prediction model to predict protein-DNA interaction sites.",,C. Yan et al. 2006. BMC Bioinformatics 7:262,Ankit,
93,RSAT,http://rsat.ulb.ac.be/rsat/info-gibbs_form.cgi,"An enhanced gibbs sampler, based on a stochastic optimization of the information content of position-specific scoring matrices.",freely available,,Ankit,
94,TESS,http://www.cbil.upenn.edu/tess?RQ=SEA-FR-QueryS,Transcription Element Search System.,,,Ankit,
95,Create a Matrix File,http://molbiol-tools.ca/Jie_Zheng/matrix.html,Creates a matrix from a DNA Clustal alignment and also presents the consensus.,freely available,,Ankit,
96,SeSiMCMC,http://favorov.bioinfolab.net/cgi-bin/SeSiMCMC/gibbslfm.pl?action=form,Sequence Similarities by Markov Chain Monte-Carlo algorithm finds DNA motifs of unknown length and complicated structure in a set of unaligned DNA sequences.,freely available,A.V. Favorov et al.. 2005. Bioinformatics 21: 2240-2245,Ankit,
97,FindTerm,http://linux1.softberry.com/berry.phtml?topic=findterm&group=programs&subgroup=gfindb,Maps rho-independent terminators.,freely available,,Ankit,
98,Cluster Buster,http://zlab.bu.edu/cluster-buster/cbust.html,Tool to find motif clusters in DNA sequences.,freely available,,Ankit,
99,Comet,http://zlab.bu.edu/~mfrith/comet/form.html,Tool to find motif clusters in DNA sequences.,freely available,,Ankit,
100,Cister,http://zlab.bu.edu/~mfrith/cister.shtml,Cis-element Cluster Finder.,freely available,,Ankit,
101,YMF,http://wingless.cs.washington.edu/YMF/YMFWeb/YMFInput.pl,Tool to find short split motifs in DNA sequences.,freely available,"Sinha, S. & Tompa, M. 2002. Nucl.Acids Res.",Ankit,
102,MotifSampler,http://homes.esat.kuleuven.be/~sistawww/bioi/thijs/Work/MotifSampler.html,MotifSampler tries to find over-represented motifs in the upstream region of a set of co-regulated genes.,freely available,G. Thijs et al. 2002. J. Comput. Biol. 9: 447-464,Ankit,
103,Extract Upstream DNA,https://lfz.corefacility.ca/extractUpStreamDNA/,"Takes a Genbank file as input. Parses through and for every CDS that it finds, it extracts a pre-determined length of DNA upstream (length will be an argument).",freely available,,Ankit,
104,Melina,http://melina2.hgc.jp/public/index.html,Motif Elucidator in Nucleotide Sequence Assembly - helps one extract a set of common motifs shared by functionally-related DNA sequences.,freely available,,Ankit,
105,Scope Motif Finder,http://genie.dartmouth.edu/scope/,The SCOPE motif finder is designed to identify candidate regulatory DNA motifs from sets of genes that are coordinately regulated.,freely available,J.M. Carlson et al. 2007. Nucl. Acids Res. 35: W259-W264,Ankit,
106,"RNAstructure, Version 5.6",http://rna.urmc.rochester.edu/software.html,RNA Secondary Structure Prediction and Analysis,freely available,,kapil,
107,PHYML,http://www.atgc-montpellier.fr/phyml/,"is a simple, fast and accurate algorithm to estimate maximum likelihood phylogenies from DNA and protein sequences.",freely available,"Guindon, S.et al. 2010. Systematic Biology, 59(3):307-21",kapil,
108,DNA Alignment Software,"http://www.fluxus-engineering.com/align.htm
","

The DNA Alignment software includes powerful alignment options and allows interactive viewing and editing (professionals know that all automatic alignment results must be checked).",paid,,kapil,
109,Restriction Mapper,http://www.restrictionmapper.org/,"Maps sites for restriction enzymes, a.k.a. restriction endonucleases, in DNA sequences. Also does virtual digestion",freely available,,Pavitra,
110,NEB cutter,tools.neb.com/NEBcutter2/,"This tool will take a DNA sequence and find the large, non-overlapping open reading frames using the E.coli genetic code and the sites for all Type II and commercially available Type III restriction enzymes that cut the sequence just once",frrely available,,Pavitra,
111,WebCutter,http://rna.lundberg.gu.se/cutter2/,"analyzes restriction maps,  Find sites which may be introduced by silent mutagenesis of your coding sequence
",freely available,,Pavitra,
112,Watcut,http://watcut.uwaterloo.ca/template.php,"An on-line tool for restriction analysis, silent mutation scanning, and SNP-RFLP analysis",freely available,,Pavitra,
113,REPK,http://rocaplab.ocean.washington.edu/tools/repk,REPK (Restriction Endonuclease Picker) finds sets of 4 commercially available restriction endonucleases which together uniquely differentiate designated sequence groups from a supplied FASTA format sequence file for use in T-RFLP.,freely available,,Pavitra,
114,Restriction of DNA sequences,http://insilico.ehu.es/restriction/,Restriction digestion of DNA sequences and comparison of restriction patterns,freely available,http://insilico.ehu.es/,Pavitra,
115,Sequence Extractor,http://www.bioinformatics.org/seqext/,Sequence Extractor generates a clickable restriction map and PCR primer map of a DNA sequence,freely available,,Pavitra,
116,ApE,http://biologylabs.utah.edu/jorgensen/wayned/ape/,Highlights restriction sites in the editing window,freely available,,Pavitra,
117,Restriction Digest,http://www.bioinformatics.org/sms2/rest_digest.html,"Restriction Digest cleaves a DNA sequence in a virtual restriction digest, with one, two, or three restriction enzymes",,,Pavitra,
118,Phylogenetic Network Software,http://www.fluxus-engineering.com/sharenet.htm,"Network generates evolutionary trees and networks from genetic, linguistic, and other data. Network can then provide age estimates for any ancestor in the tree.",freely available,,kapil,
119,MEGA:: Molecular Evolutionary Genetics Analysis,http://www.megasoftware.net/,"MEGA is an integrated tool for conducting sequence alignment, inferring phylogenetic trees, estimating divergence times, mining online databases, estimating rates of molecular evolution, inferring ancestral sequences, and testing evolutionary hypotheses.",freely available,,kapil,
120,Beast,http://tree.bio.ed.ac.uk/download.html?name=beast&id=91&num=2,"BEAST, Bayesian Evolutionary Analysis Sampling Trees, is a cross-platform program for Bayesian analysis of molecular sequences using MCMC.",freely available,,kapil,
121,FigTree,http://tree.bio.ed.ac.uk/software/figtree/,FigTree is designed as a graphical viewer of phylogenetic trees and as a program for producing publication-ready figures,freely available,,kapil,
122,Path-O-Gen,http://tree.bio.ed.ac.uk/software/pathogen/,Path-O-Gen is a tool for investigating the temporal signal and 'clocklikeness' of molecular phylogenies.,freely available,,kapil,
123,Se-Al,http://tree.bio.ed.ac.uk/download.html?name=seal&id=1&num=1,Se-Al is an application for creating multiple sequence alignments from nucleotide and amino acid sequences.,freely available,,kapil,
124,Seq-Gen,http://tree.bio.ed.ac.uk/download.html?name=seqgen&id=85&num=1,"Seq-Gen is a program that will simulate the evolution of nucleotide or amino acid sequences along a phylogeny, using common models of the substitution process.",freely available,,kapil,
125,Tracer,http://tree.bio.ed.ac.uk/download.html?name=tracer&id=88&num=1,"Tracer is a program for analysing the trace files generated by Bayesian MCMC runs (that is, the continuous parameter values sampled from the chain)...",freely available,,kapil,
126,TreeStat,http://tree.bio.ed.ac.uk/download.html?name=treestat&id=61&num=1,TreeStat is an application that can process a set of trees in a PHYLIP or NEXUS format tree file and calculate a number of summary statistics for each.,freely available,,kapil,
127,Phylogen,http://tree.bio.ed.ac.uk/download.html?name=phylogen&id=5&num=3,,freely available,,kapil,
128,TreeEdit,http://tree.bio.ed.ac.uk/download.html?name=treeedit&id=7&num=1,,freely available,,kapil,
129,GenDEcoder server v1.6,http://darwin.uvigo.es/software/genDecoder.html,automatic prediction of genetic codes in metazoan mitochondria,freely available,,kapil,
130,NetTest,http://darwin.uvigo.es/software/nettest/,Web server for the characterization of explicit networks,freely available,,kapil,
131,ALTER::allingment transformation environment,http://sing.ei.uvigo.es/ALTER/,Program-oriented alignment format converter.,freely available,,kapil,
132,NETRECODON,https://code.google.com/p/netrecodon/downloads/list,"Simulation of coding sequences with intracodon recombination, migration and growth.",freely available,,kapil,
133,GeoDis,http://darwin.uvigo.es/software/geodis.html,"GEODIS is a program for the calculation of the statistics and
associated P-values for the nested clade analysis (NCA) developed by
Templeton and collaborators",freely available,,kapil,
134,DNADynamo,http://www.bluetractorsoftware.co.uk/,"DNA Dynamo sequence analysis software is easy to use. It's user interface is focused on your DNA sequences, proteins and restriction enzyme sites. Sequencing data, oligonucleotide sequences, DNA/Protein annotations and notes can be added to each sequence",free download,,Pavitra,
135,Sequencher,http://www.genecodes.com/,DNA sequence assembly and analysis tools for next-generation or traditional (Sanger or Capillary Electrophoresis) DNA data sets,paid,,Pavitra,
136,CodonCode Aligner,http://www.codoncode.com/aligner/,"CodonCode Aligner is a program for sequence assembly, contig editing, and mutation detection,",free download,,Pavitra,
137,Compass,http://prodata.swmed.edu/compass/compass_advanced.php,imilarity search with alignment or sequence as a query against a database of protein families.,freely available,,Pavitra,
138,AMIGene,http://www.genoscope.cns.fr/agc/tools/amigene/Form/form.php,Annotation of Microbial Genes,free,,Pavitra,
139,CountCodon,http://www.kazusa.or.jp/codon/countcodon.html,frequency of codons,free,,Pavitra,
140,CpGReport,http://emboss.sourceforge.net/apps/cvs/emboss/apps/cpgreport.html,Identify and report CpG-rich regions in nucleotide sequence(s),free,,Pavitra,
141,FMap,http://linux1.softberry.com/berry.phtml?topic=advmap&group=programs&subgroup=xmap,ast mapping nucleotide or protein sequence on genome with finding exon boundaries,free,,Pavitra,
142,Scan2,http://linux1.softberry.com/berry.phtml?topic=scan2&group=programs&subgroup=scanh,program for aligning two multimegabyte-size genome sequences,free,,Pavitra,
143,ProtMap,http://linux1.softberry.com/berry.phtml?topic=prot_map&group=programs&subgroup=xmap,mapping of a set of proteins on genome,free,,Pavitra,
144,SMAP,http://linux1.softberry.com/berry.phtml?topic=smap&group=programs&subgroup=xmap,mapping oligonucleotides to genome,free,,Pavitra,
145,ESTMap,http://linux1.softberry.com/berry.phtml?topic=rnamap&group=programs&subgroup=scanh,Mapping your mRNA/EST to Chromosome sequence of Human genome,free,,Pavitra,
146,GenomesMatch,http://linux1.softberry.com/berry.phtml?topic=gmatch&group=programs&subgroup=scanh,comparison of 2 genomic or chromosomes,free,,Pavitra,
147,FGENESB,http://linux1.softberry.com/berry.phtml?topic=fgenesb&group=programs&subgroup=gfindb,FGENESB is a suite of bacterial operon and gene prediction programs,free,,Pavitra,
148,BPROM,http://linux1.softberry.com/berry.phtml?topic=bprom&group=programs&subgroup=gfindb,Prediction of bacterial promoters,free,,Pavitra,
149,AbSplit,http://linux1.softberry.com/berry.phtml?topic=absplit&group=programs&subgroup=gfindb,Separating archea and bacterial genomic sequences,free,,Pavitra,
